SPP	I	II	III
1	1,000	,001	-,920
2	1,000	,860	-1,006
3	1,000	1,228	-,774
4	1,000	,765	-,534
5	1,000	,604	-1,208
6	1,000	-,773	-,423
7	1,000	-1,628	-1,163
8	1,000	-1,057	,316
9	1,000	-,293	1,737
10	1,000	2,386	-,693
11	1,000	1,710	,370
12	1,000	,604	-1,208
13	1,000	,682	-1,144
14	1,000	,765	-,534
15	1,000	-1,726	,068
16	1,000	-,694	,593
17	1,000	-,625	1,519
18	1,000	-,895	,820
19	1,000	-,625	1,519
20	1,000	,796	1,196
21	1,000	1,710	,370
22	1,000	,964	-1,358
23	1,000	-1,438	-1,374
24	1,000	-,855	-1,081
25	1,000	-1,438	-1,374
26	1,000	-,357	1,078
27	1,000	1,091	1,879
28	1,000	1,072	1,140
29	1,000	1,312	-,061
30	1,000	1,260	,729
31	1,000	,682	-1,144
32	1,000	-,817	-,885
33	1,000	-,204	-,812
34	1,000	-,490	,130
35	1,000	-,614	2,266
36	1,000	,791	,459
37	1,000	-,712	,831
38	1,000	,653	,450
39	1,000	-,020	-,320
40	1,000	-1,551	-,313
41	1,000	-1,003	-,045
1	1,000	-1,917	-,337
2	1,000	,946	-,618
3	1,000	-1,041	1,338
4	1,000	,717	-1,390
5	1,000	-,280	,878
6	1,000	-,876	-1,980
7	1,000	,405	1,011
8	1,000	-,140	-,167
9	1,000	1,610	,431
