CP
Sample	size	E[Sn]	
0	0	
5	4	
10	6	
15	7	
20	7	
25	8	
30	8	
35	9	
40	9	
45	9	
50	9	
60	10	
70	10	
80	11	
90	11	
100	11	
110	11	
120	11	
130	12	
150	12	
170	12	
180	12	
190	13	
200	13	
220	13	
240	13	
250	13	
260	13	
270	13	
280	13	
290	14	
300	14
350	14
400	14	
GS
0	0	
5	3	
10	4	
15	5	
20	5	
25	5	
30	6	
35	6	
40	6	
45	6	
50	6	
60	6	
70	7	
80	7	
90	7	
100	7	
110	8	
120	8	
130	8	
AJ
0	0	
5	3	
10	4	
15	4	
20	4	
25	5	
30	5	
35	5	
40	5	
45	5	
50	6	
50	6	
60	7	
70	7	
80	7	
85	7	
TMA
0	0	
5	3	
10	5	
15	6	
20	7	
25	8	
30	9	
35	10	
40	11	
45	11	
50	12	
60	13	
70	14	
80	14	
90	15	
100	16	
110	16	
120	17	
130	17	
140	17	
150	18	
160	18	
170	18	
180	19	
190	19	
MBP
0	0	
5	3	
10	5	
15	7	
20	8	
25	9	
30	10	
35	10	
40	11	
45	12	
50	12	
60	13	
70	14	
80	15	
90	15	
100	16	
110	16	
120	17	
130	17	
140	18	
150	18	
DARU
0	0	
5	1	
10	1	
15	1	
15	1	
15	1	
17	2	
18	2	
SCAR
0	0	
5	2	
10	3	
15	3	
20	4	
25	4	
30	4	
35	5	
40	5	
45	5	
50	5	
60	6	
70	6	
80	6	
90	6	
100	7	
110	7	
120	7	
130	7	
135	7	
PAVE
0	0	
5	4	
10	8	
15	11	
20	13	
25	15	
30	16	
35	17	
40	18	
45	19	
50	20	
60	22	
70	23	
80	24	
90	25	
100	26	
150	29	
200	30	
250	32	
300	33	
350	33	
400	34	
450	35	
500	35	
550	36	
600	36	
650	36	
700	37	
750	37	
800	37	
850	37
900	38	
950	38	
1000	38	
1050	38	
1100	38	
1150	39	
1200	39	
1250	39	
1300	39	
1350	39	
RRUP
0	0	
5	4	
10	7	
15	10	
20	12	
25	13	
30	15	
35	16	
40	18	
45	19	
50	20	
60	22	
70	23	
80	25	
90	26	
100	27	
110	28	
120	30	
130	30	
140	31	
60	22	
70	23	
80	25	
90	26	
100	27	
110	28	
120	30	
130	30	
140	31	
150	32	
200	36	
250	39	
300	42	
350	44	
400	46	
420	47
TVIS
0	0	
5	4	
10	6	
15	7	
20	8	
25	9	
30	9	
35	10	
40	10	
45	11	
50	11	
60	12	
70	12	
80	13	
90	13	
100	13	
150	14	
200	15	
250	15	
300	16	
350	16	
400	16	
450	17	
500	17	
550	17	
600	17	
650	17	
700	17	
750	17	
800	17
850	18	
900	18	
950	18	
1000	18	
1050	18	
TPIL
0	0	
5	2	
10	3	
15	4	
20	4	
25	4	
30	5	
35	5	
40	5	
45	5	
50	5	
60	6	
70	6	
80	6	
90	6	
100	6	
150	7	
200	7	
250	8	
300	8	
350	9	
400	9	
450	9	
500	9	
550	10	
600	10	
650	10	
HKLO
0	0	
5	5	
10	9	
15	12	
20	15	
25	18	
30	21	
35	23	
40	25	
50	29	
100	43	
200	60	
300	71	
400	79	
500	84	
600	89	
700	93	
800	96	
900	98	
1000	101	
1100	103	
1200	104	
1300	106	
1400	108	
1500	109	
1600	110	
1700	111	
1800	112	
1900	113	
2000	114	
2100	115	
2200	116	
2300	116	
SATR
0	0	
5	3	
10	5	
15	6	
20	7	
25	7	
30	8	
35	8	
40	9	
45	9	
50	10	
60	10	
70	10	
80	11	
90	11	
100	11	
110	12	
120	12	
125	12	
SBOR
0	0	
5	3	
10	5	
15	5	
20	6	
25	6	
30	7	
35	7	
40	7	
45	8	
50	8	
55	8	
60	8	
65	8	
COLI
0	0	
5	4	
10	7	
15	8	
20	10
25	11
30	12
35	13
40	14
45	15
50	16
100	20
200	25
300	28
400	30
500	32
600	34
700	35
800	36
900	37
1000	38
1100	39
1200	40
1300	41
1400	41
1500	42
1600	42
1700	43
1800	43
1900	43
2000	44
2100	44
2200	44
2300	44
